 [2019-04-26 04:17:59] com.mysql.jdbc.JDBC4PreparedStatement@232a5316: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 04:19:11] com.mysql.jdbc.JDBC4PreparedStatement@5cc0eda4: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 04:25:59] com.mysql.jdbc.JDBC4PreparedStatement@c73aded: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 04:49:58] com.mysql.jdbc.JDBC4PreparedStatement@5d8849e9: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 04:54:32] com.mysql.jdbc.JDBC4PreparedStatement@6bcf6d2e: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 05:21:58] com.mysql.jdbc.JDBC4PreparedStatement@70efd6c7: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 05:43:25] com.mysql.jdbc.JDBC4PreparedStatement@360f5fe8: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 06:59:45] com.mysql.jdbc.JDBC4PreparedStatement@2ebf14d: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 07:05:59] com.mysql.jdbc.JDBC4PreparedStatement@3bc40c04: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-26 07:13:58] com.mysql.jdbc.JDBC4PreparedStatement@687529b3: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
