 [2019-04-13 07:45:10] com.mysql.jdbc.JDBC4PreparedStatement@7840a690: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 08:33:43] com.mysql.jdbc.JDBC4PreparedStatement@15e208c2: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 08:33:44] com.mysql.jdbc.JDBC4PreparedStatement@48a5e143: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 08:33:52] com.mysql.jdbc.JDBC4PreparedStatement@27c07fc: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 09:18:12] com.mysql.jdbc.JDBC4PreparedStatement@4a6c393c: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 09:18:22] com.mysql.jdbc.JDBC4PreparedStatement@67d00a4f: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 09:55:41] com.mysql.jdbc.JDBC4PreparedStatement@1c4ba8a7: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 10:17:02] com.mysql.jdbc.JDBC4PreparedStatement@4596d9f8: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 11:30:30] com.mysql.jdbc.JDBC4PreparedStatement@49595475: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 13:39:15] com.mysql.jdbc.JDBC4PreparedStatement@5d5be9a6: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 13:54:52] com.mysql.jdbc.JDBC4PreparedStatement@1c4ba8a7: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 13:58:01] com.mysql.jdbc.JDBC4PreparedStatement@349d1ae: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 15:25:47] com.mysql.jdbc.JDBC4PreparedStatement@605f6f20: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 16:43:49] com.mysql.jdbc.JDBC4PreparedStatement@2d5de14b: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 17:28:19] com.mysql.jdbc.JDBC4PreparedStatement@560efefd: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 17:28:36] com.mysql.jdbc.JDBC4PreparedStatement@5fe95c42: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 20:29:34] com.mysql.jdbc.JDBC4PreparedStatement@e18a50c: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 20:29:34] com.mysql.jdbc.JDBC4PreparedStatement@319fd29f: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 21:00:26] com.mysql.jdbc.JDBC4PreparedStatement@4891ad51: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 21:08:58] com.mysql.jdbc.JDBC4PreparedStatement@736c2c1f: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 22:01:35] com.mysql.jdbc.JDBC4PreparedStatement@1e067938: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 22:18:44] com.mysql.jdbc.JDBC4PreparedStatement@7164077e: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
 [2019-04-13 23:50:50] com.mysql.jdbc.JDBC4PreparedStatement@13d21133: SELECT id, shopname,address, Mobile,GSTIN, term, sing,bill_status FROM adminbillchange LIMIT 1; 
